Wavelength (nm),PTP Emission (A.U.),G2P Emission (A.U.),PTP Excitation (A.U.),PTP Emission - alt source (A.U.),G2P Attenuation Length 80mg/Kg (m),G2P Absorption Coefficient 80mg/Kg (1/m),G2P Absorption Coefficient 80mg/Kg (1/cm),G2P Extrapolation (measured/flat/trend),G2P Transmittance @3.8mm,G2P Absorbance(OD) @3.8mm,G2P Fraction Absorbed @3.8mm
200.00,0.00000000,0.00000000,0.00000000,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
201.00,0.00000000,0.00000000,0.00000000,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
202.00,0.00000000,0.00000000,0.00000000,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
203.00,0.00000000,0.00000000,0.00000000,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
204.00,0.00000000,0.00000000,0.00000000,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
205.00,0.00000000,0.00000000,0.00000000,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
206.00,0.00000000,0.00000000,0.00000000,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
207.00,0.00000000,0.00000000,0.00000000,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
208.00,0.00000000,0.00000000,0.00000000,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
209.00,0.00000000,0.00000000,0.00000000,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
210.00,0.00000000,0.00000000,0.00000000,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
211.00,0.00000000,0.00000000,0.00000000,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
212.00,0.00000000,0.00000000,0.00000000,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
213.00,0.00000000,0.00000000,0.00000000,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
214.00,0.00000000,0.00000000,0.00000000,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
215.00,0.00000000,0.00000000,0.00000000,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
216.00,0.00000000,0.00000000,0.00000000,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
217.00,0.00000000,0.00000000,0.00000000,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
218.00,0.00000000,0.00000000,0.17923020,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
219.00,0.00000000,0.00000000,0.36117133,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
220.00,0.00000000,0.00000000,0.51087369,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
221.00,0.00000000,0.00000000,0.47688200,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
222.00,0.00000000,0.00000000,0.44289031,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
223.00,0.00000000,0.00000000,0.40668102,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
224.00,0.00000000,0.00000000,0.36561336,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
225.00,0.00000000,0.00000000,0.32454570,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
226.00,0.00000000,0.00000000,0.28816449,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
227.00,0.00000000,0.00000000,0.25690933,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
228.00,0.00000000,0.00000000,0.22565417,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
229.00,0.00000000,0.00000000,0.20165751,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
230.00,0.00000000,0.00000000,0.18171194,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
231.00,0.00000000,0.00000000,0.16176638,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
232.00,0.00000000,0.00000000,0.15372268,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
233.00,0.00000000,0.00000000,0.14854371,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
234.00,0.00000000,0.00000000,0.14336473,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
235.00,0.00000000,0.00000000,0.14945622,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
236.00,0.00000000,0.00000000,0.15589508,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
237.00,0.00000000,0.00000000,0.16318658,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
238.00,0.00000000,0.00000000,0.17597420,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
239.00,0.00000000,0.00000000,0.18876182,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
240.00,0.00000000,0.00000000,0.20378591,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
241.00,0.00000000,0.00000000,0.22406589,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
242.00,0.00000000,0.00000000,0.24434587,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
243.00,0.00000000,0.00000000,0.26670717,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
244.00,0.00000000,0.00000000,0.29148535,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
245.00,0.00000000,0.00000000,0.31626352,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
246.00,0.00000000,0.00000000,0.34412275,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
247.00,0.00000000,0.00000000,0.37381566,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
248.00,0.00000000,0.00000000,0.40350857,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
249.00,0.00000000,0.00000000,0.43734974,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
250.00,0.00000000,0.00000000,0.47228697,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
251.00,0.00000000,0.00000000,0.50722420,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
252.00,0.00000000,0.00000000,0.54290457,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
253.00,0.00000000,0.00000000,0.57861980,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
254.00,0.00000000,0.00000000,0.61461040,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
255.00,0.00000000,0.00000000,0.65263191,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
256.00,0.00000000,0.00000000,0.69065341,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
257.00,0.00000000,0.00000000,0.72813929,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
258.00,0.00000000,0.00000000,0.76427211,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
259.00,0.00000000,0.00000000,0.80040493,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
260.00,0.00000000,0.00000000,0.83691969,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
261.00,0.00000000,0.00000000,0.87390545,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
262.00,0.00000000,0.00000000,0.91089121,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
263.00,0.00000000,0.00000000,0.94384346,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
264.00,0.00000000,0.00000000,0.97423744,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
265.00,0.00000000,0.00000000,1.00463143,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
266.00,0.00000000,0.00000000,1.02992870,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
267.00,0.00000000,0.00000000,1.05375561,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
268.00,0.00000000,0.00000000,1.07758251,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
269.00,0.00000000,0.00000000,1.09222508,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
270.00,0.00000000,0.00000000,1.10628453,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
271.00,0.00000000,0.00000000,1.11949855,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
272.00,0.00000000,0.00000000,1.12546784,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
273.00,0.00000000,0.00000000,1.13143713,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
274.00,0.00000000,0.00000000,1.13580247,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
275.00,0.00000000,0.00000000,1.13580247,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
276.00,0.00000000,0.00000000,1.13580247,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
277.00,0.00000000,0.00000000,1.13200333,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
278.00,0.00000000,0.00000000,1.12322527,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
279.00,0.00000000,0.00000000,1.11444721,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
280.00,0.00000000,0.00000000,1.10128827,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
281.00,0.00000000,0.00000000,1.08517206,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
282.00,0.00000000,0.00000000,1.06905585,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
283.00,0.00000000,0.00000000,1.04787219,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
284.00,0.00000000,0.00000000,1.02509879,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
285.00,0.00000000,0.00000000,1.00232540,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
286.00,0.00000000,0.00000000,0.97054847,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
287.00,0.00000000,0.00000000,0.93804574,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
288.00,0.00000000,0.00000000,0.90526335,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
289.00,0.00000000,0.00000000,0.86963948,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
290.00,0.00000000,0.00000000,0.83401561,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
291.00,0.00000000,0.00000000,0.79724716,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
292.00,0.00000000,0.00000000,0.75711171,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
293.00,0.00000000,0.00000000,0.71697626,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
294.00,0.00000000,0.00000000,0.67807035,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
295.00,0.00000000,0.00000000,0.64087710,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
296.00,0.00000000,0.00000000,0.60368384,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
297.00,0.00000000,0.00000000,0.56360692,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
298.00,0.00000000,0.00000000,0.52145976,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
299.00,0.00000000,0.00000000,0.47931259,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
300.00,0.00017451,0.00000000,0.44057644,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
301.00,0.00040834,0.00000000,0.40299984,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
302.00,0.00064218,0.00000000,0.36542324,0.00000000,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
303.00,0.00086924,0.00000000,0.33089314,0.00431758,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
304.00,0.00109563,0.00000000,0.29666287,0.00906009,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
305.00,0.00133598,0.00000000,0.26301170,0.01438170,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
306.00,0.00174938,0.00000000,0.23654410,0.02688688,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
307.00,0.00216277,0.00000000,0.21007650,0.03939206,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
308.00,0.00270307,0.00000000,0.18512499,0.05587365,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
309.00,0.00364787,0.00000000,0.16500615,0.08503046,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
310.00,0.00459267,0.00000000,0.14488731,0.11418726,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
311.00,0.00580740,0.00000000,0.12706516,0.15280037,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
312.00,0.00742203,0.00000000,0.11264530,0.20542194,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
313.00,0.00903665,0.00000000,0.09822544,0.25804351,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
314.00,0.01069587,0.00000000,0.08569771,0.33144285,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
315.00,0.01238913,0.00000000,0.07461376,0.42069659,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
316.00,0.01408238,0.00000000,0.06352982,0.50995033,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
317.00,0.01571418,0.00000000,0.05476701,0.59700406,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
318.00,0.01732339,0.00000000,0.04685706,0.68324944,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
319.00,0.01893260,0.00000000,0.03894710,0.76949482,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
320.00,0.02007200,0.00000000,0.03543923,0.81618352,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
321.00,0.02115657,0.00000000,0.03244505,0.85825617,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
322.00,0.02218094,0.00000000,0.02942171,0.89696233,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
323.00,0.02225700,0.00000000,0.02593890,0.88264470,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
324.00,0.02233306,0.00000000,0.02245610,0.86832707,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
325.00,0.02232023,0.00000000,0.02013135,0.85584023,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
326.00,0.02199930,0.00000000,0.02182077,0.84969940,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
327.00,0.02167837,0.00000000,0.02351019,0.84355857,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
328.00,0.02159727,0.00000000,0.02383855,0.85157699,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
329.00,0.02189429,0.00000000,0.02202096,0.88191965,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
330.00,0.02219132,0.00000000,0.02020338,0.91226232,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
331.00,0.02277018,0.00000000,0.01688739,0.95106098,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
332.00,0.02357758,0.00000000,0.01235628,0.99671694,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
333.00,0.02438499,0.00000000,0.00782516,1.04237290,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
334.00,0.02503677,0.00000000,0.00863055,1.06598524,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
335.00,0.02562695,0.00000000,0.01154848,1.08087120,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
336.00,0.02621712,0.00000000,0.01446641,1.09575717,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
337.00,0.02628869,0.00000000,0.01481481,1.07318961,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
338.00,0.02628993,0.00000000,0.01481481,1.04554375,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
339.00,0.02626474,0.00000000,0.01473680,1.01742382,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
340.00,0.02567586,0.00000000,0.01299539,0.97919612,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
341.00,0.02508699,0.00000000,0.01125399,0.94096841,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
342.00,0.02445204,0.00000000,0.00970054,0.90460125,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
343.00,0.02364269,0.00000000,0.00885846,0.87527567,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
344.00,0.02283334,0.00000000,0.00801638,0.84595008,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
345.00,0.02214808,0.00000000,0.00845239,0.82303272,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
346.00,0.02167131,0.00000000,0.01103590,0.81088275,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
347.00,0.02119455,0.00000000,0.01361942,0.79873278,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
348.00,0.02088580,0.00000000,0.01603722,0.79010013,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
349.00,0.02072173,0.00000000,0.01831231,0.78449645,1.269774e-03,7.875417e+02,7.875417e+00,flat,0.050154,1.299695,0.949846
350.00,0.02055766,0.00000000,0.02058740,0.77889277,1.269774e-03,7.875417e+02,7.875417e+00,measured,0.050154,1.299695,0.949846
351.00,0.02042839,0.00000000,0.01775974,0.76835288,1.269774e-03,7.875417e+02,7.875417e+00,measured,0.050154,1.299695,0.949846
352.00,0.02031392,0.00000000,0.01276079,0.75571254,1.223567e-03,8.172826e+02,8.172826e+00,measured,0.044794,1.348777,0.955206
353.00,0.02019945,0.00000000,0.00776183,0.74307221,1.184402e-03,8.443079e+02,8.443079e+00,measured,0.040422,1.393377,0.959578
354.00,0.01992319,0.00000000,0.00794099,0.72021815,1.172612e-03,8.527970e+02,8.527970e+00,measured,0.039139,1.407387,0.960861
355.00,0.01962182,0.00000000,0.00892345,0.69577959,1.143604e-03,8.744286e+02,8.744286e+00,measured,0.036051,1.443086,0.963949
356.00,0.01931362,0.00000000,0.00992861,0.67101275,1.126856e-03,8.874248e+02,8.874248e+00,measured,0.034314,1.464534,0.965686
357.00,0.01878370,0.00000000,0.01166995,0.63559507,1.126856e-03,8.874248e+02,8.874248e+00,measured,0.034314,1.464534,0.965686
358.00,0.01825378,0.00000000,0.01341129,0.60017739,1.126856e-03,8.874248e+02,8.874248e+00,measured,0.034314,1.464534,0.965686
359.00,0.01770060,0.00000000,0.01415528,0.56571313,1.126856e-03,8.874248e+02,8.874248e+00,measured,0.034314,1.464534,0.965686
360.00,0.01705075,0.00000000,0.01075565,0.53520998,1.126856e-03,8.874248e+02,8.874248e+00,measured,0.034314,1.464534,0.965686
361.00,0.01640089,0.00000000,0.00735601,0.50470683,1.126856e-03,8.874248e+02,8.874248e+00,measured,0.034314,1.464534,0.965686
362.00,0.01576986,0.00000000,0.00585314,0.47658829,1.126856e-03,8.874248e+02,8.874248e+00,measured,0.034314,1.464534,0.965686
363.00,0.01517255,0.00000000,0.00774876,0.45274232,1.126856e-03,8.874248e+02,8.874248e+00,measured,0.034314,1.464534,0.965686
364.00,0.01457524,0.00000000,0.00964437,0.42889635,1.126856e-03,8.874248e+02,8.874248e+00,measured,0.034314,1.464534,0.965686
365.00,0.01407648,0.00000000,0.01113085,0.40873268,1.126856e-03,8.874248e+02,8.874248e+00,measured,0.034314,1.464534,0.965686
366.00,0.01366781,0.00000000,0.01224327,0.39193550,1.126856e-03,8.874248e+02,8.874248e+00,measured,0.034314,1.464534,0.965686
367.00,0.01325914,0.00000000,0.01335569,0.37513832,1.082885e-03,9.234591e+02,9.234591e+00,measured,0.029923,1.524002,0.970077
368.00,0.01293907,0.00000000,0.01397318,0.36035802,1.082885e-03,9.234591e+02,9.234591e+00,measured,0.029923,1.524002,0.970077
369.00,0.01265944,0.00000000,0.01436476,0.34649833,1.071023e-03,9.336868e+02,9.336868e+00,measured,0.028782,1.540881,0.971218
370.00,0.01237982,0.00000000,0.01475635,0.33263863,1.052630e-03,9.500014e+02,9.500014e+00,measured,0.027052,1.567805,0.972948
371.00,0.01213352,0.00000000,0.01333340,0.31999755,1.041934e-03,9.597537e+02,9.597537e+00,measured,0.026068,1.583900,0.973932
372.00,0.01189308,0.00000000,0.01159200,0.30757034,1.040630e-03,9.609563e+02,9.609563e+00,measured,0.025949,1.585885,0.974051
373.00,0.01165257,0.00000000,0.00988976,0.29513805,1.040630e-03,9.609563e+02,9.609563e+00,measured,0.025949,1.585885,0.974051
374.00,0.01140791,0.00000000,0.01077692,0.28236949,1.040630e-03,9.609563e+02,9.609563e+00,measured,0.025949,1.585885,0.974051
375.00,0.01116325,0.00000000,0.01166409,0.26960093,1.040630e-03,9.609563e+02,9.609563e+00,measured,0.025949,1.585885,0.974051
376.00,0.01091732,0.00000000,0.01223347,0.25670700,1.040630e-03,9.609563e+02,9.609563e+00,measured,0.025949,1.585885,0.974051
377.00,0.01066562,0.00000000,0.01134630,0.24323841,1.040630e-03,9.609563e+02,9.609563e+00,measured,0.025949,1.585885,0.974051
