Wavelength (nm),PTP Emission (A.U.),G2P Emission (A.U.)
300.0000,0.00000000,0.00000000
302.8283,0.00089757,0.00000000
305.6566,0.00144726,0.00000000
308.4848,0.00283165,0.00000000
311.3131,0.00594495,0.00000000
314.1414,0.01100252,0.00000000
316.9697,0.01570228,0.00000000
319.7980,0.02020482,0.00000000
322.6263,0.02280773,0.00000000
325.4545,0.02226093,0.00000000
328.2828,0.02123978,0.00000000
331.1111,0.02265663,0.00000000
333.9394,0.02520484,0.00000000
336.7677,0.02660958,0.00000000
339.5960,0.02619784,0.00000000
342.4242,0.02416641,0.00000000
345.2525,0.02180321,0.00000000
348.0808,0.02074203,0.00000000
350.9091,0.02044444,0.00000000
353.7374,0.02011352,0.00000000
356.5657,0.01912032,0.00000000
359.3939,0.01748717,0.00000000
362.2222,0.01559565,0.00000000
365.0505,0.01395832,0.00000000
367.8788,0.01292438,0.00000000
370.7071,0.01219401,0.00000000
373.5354,0.01152630,0.00000000
376.3636,0.01082850,0.00000000
379.1919,0.01011328,0.00000000
382.0202,0.00862742,0.00000000
384.8485,0.00715558,0.00000000
387.6768,0.00604654,0.00000000
390.5051,0.00525519,0.00000000
393.3333,0.00460534,0.00000000
396.1616,0.00405143,0.00000000
398.9899,0.00349753,0.00031646
401.8182,0.00297585,0.00066397
404.6465,0.00251630,0.00150173
407.4747,0.00208898,0.00467836
410.3030,0.00172495,0.00972759
413.1313,0.00148750,0.01228477
415.9596,0.00126582,0.01401572
418.7879,0.00113918,0.01546049
421.6162,0.00101266,0.01689740
424.4444,0.00088608,0.01877873
427.2727,0.00075949,0.02053307
430.1010,0.00069572,0.02203369
432.9293,0.00056962,0.02247619
435.7576,0.00050633,0.02202824
438.5859,0.00044304,0.02054479
441.4141,0.00037975,0.01904441
444.2424,0.00037975,0.01790272
447.0707,0.00037975,0.01709354
449.8990,0.00029940,0.01672160
452.7273,0.00031646,0.01657143
455.5556,0.00031646,0.01648340
458.3838,0.00025316,0.01626906
461.2121,0.00029897,0.01597369
464.0404,0.00025316,0.01536242
466.8687,0.00025316,0.01462416
469.6970,0.00025316,0.01377181
472.5253,0.00025316,0.01275771
475.3535,0.00025316,0.01202954
478.1818,0.00025316,0.01141039
481.0101,0.00025316,0.01091822
483.8384,0.00025316,0.01048954
486.6667,0.00025316,0.01015610
489.4949,0.00025316,0.00964644
492.3232,0.00000000,0.00895286
495.1515,0.00000000,0.00833566
497.9798,0.00000000,0.00765518
500.8081,0.00000000,0.00698735
503.6364,0.00000000,0.00629420
506.4646,0.00000000,0.00561372
509.2929,0.00000000,0.00493323
512.1212,0.00000000,0.00437932
514.9495,0.00000000,0.00388871
517.7778,0.00000000,0.00346139
520.6061,0.00000000,0.00316065
523.4343,0.00000000,0.00284810
526.2626,0.00000000,0.00259494
529.0909,0.00000000,0.00238501
531.9192,0.00000000,0.00215190
534.7475,0.00000000,0.00196203
537.5758,0.00000000,0.00179925
540.4040,0.00000000,0.00162509
543.2323,0.00000000,0.00145570
546.0606,0.00000000,0.00134007
548.8889,0.00000000,0.00120253
551.7172,0.00000000,0.00099175
554.5455,0.00000000,0.00082278
557.3737,0.00000000,0.00082278
560.2020,0.00000000,0.00082278
563.0303,0.00000000,0.00082278
565.8586,0.00000000,0.00075949
568.6869,0.00000000,0.00075949
571.5152,0.00000000,0.00069620
574.3434,0.00000000,0.00069620
577.1717,0.00000000,0.00056962
580.0000,0.00000000,0.00050633
